Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss
40,0.038,0.019,0.067204595,0.15775454,0.230668164,0.559195139,0.429196587,0.988391726,0.065055534,0.172939122,0.167007417,0.701288586,0.416357795,1.117646381,0.043,0.024,0.049035653,0.100719757,0.167649603,0.632187014,0.405687007,1.03787402,0.041,0.021,0.031086016,0.128944963,0.147954438,0.746335143,0.405128918,1.151464061,0.038,0.018,0.053155862,0.113294221,0.160310046,0.578357786,0.429550114,1.0079079
41,0.038,0.019,0.056961201,0.102441952,0.235574339,0.597650285,0.431885852,1.029536136,0.032649465,0.154984996,0.163601948,0.662309695,0.418726785,1.081036481,0.043,0.024,0.023489609,0.111297235,0.16731315,0.616176388,0.392843195,1.009019583,0.044,0.023,0.018950105,0.107445225,0.146858463,0.800366163,0.40028439,1.200650554,0.039,0.018,0.037976556,0.099990636,0.155986601,0.546352383,0.42382947,0.970181853
42,0.038,0.02,0.087885588,0.221635431,0.227341522,0.56850819,0.434395574,1.002903764,0.021169808,0.121410094,0.162985214,0.653208238,0.416827497,1.070035735,0.043,0.024,0.0230384,0.109098285,0.161000875,0.60805669,0.392141669,1.000198359,0.046,0.023,0.022282455,0.126551032,0.143853457,0.852287184,0.398739097,1.251026281,0.036,0.017,0.060717162,0.102185287,0.151705369,0.609986405,0.433000103,1.042986509
43,0.041,0.019,0.09131369,0.215106189,0.217455193,0.603398273,0.431949956,1.035348229,0.040253811,0.149622828,0.158797851,0.707835735,0.413366643,1.121202378,0.043,0.023,0.023361815,0.108093068,0.158855235,0.627605069,0.40802792,1.035632988,0.042,0.022,0.024465352,0.118489847,0.138286316,0.7474714,0.409513061,1.156984462,0.039,0.018,0.027736668,0.098684847,0.154812404,0.555174235,0.430965517,0.986139752
44,0.038,0.019,0.076992162,0.197496548,0.21559801,0.58441262,0.427636508,1.012049128,0.023680616,0.102393627,0.156150379,0.717166277,0.415115457,1.132281734,0.044,0.025,0.01753119,0.102092072,0.157857533,0.637651979,0.397339212,1.034991191,0.044,0.023,0.028257025,0.144461662,0.136490689,0.762865049,0.40389289,1.166757939,0.041,0.02,0.030163724,0.0902647,0.152678002,0.604381143,0.417538376,1.021919519
45,0.039,0.02,0.025450353,0.09092135,0.214181179,0.561732327,0.423917829,0.985650156,0.045510355,0.120606482,0.157147214,0.688133379,0.421624948,1.109758327,0.044,0.025,0.051931541,0.187613323,0.149276569,0.671473143,0.394704769,1.066177912,0.043,0.023,0.020921789,0.120305613,0.13613797,0.806205375,0.398168083,1.204373459,0.038,0.018,0.026140567,0.12789093,0.139534655,0.587999892,0.421380166,1.009380057
46,0.04,0.02,0.047712833,0.134738311,0.209445424,0.575611032,0.422646402,0.998257434,0.070221007,0.196046859,0.15429033,0.668633684,0.412033134,1.080666817,0.047,0.025,0.021990789,0.101510033,0.148467643,0.666934953,0.39519446,1.062129413,0.044,0.023,0.013385728,0.112873599,0.13072789,0.806277508,0.39826279,1.204540298,0.038,0.018,0.016382568,0.086860672,0.140572661,0.600816364,0.431027696,1.03184406
47,0.041,0.019,0.063951701,0.178649098,0.20066798,0.585545746,0.420927062,1.006472808,0.063835017,0.150187165,0.152717236,0.723759391,0.42420447,1.147963861,0.045,0.024,0.023079563,0.10319449,0.143959329,0.637154586,0.40405592,1.041210506,0.046,0.024,0.012447775,0.084158257,0.129143306,0.894680127,0.400699339,1.295379466,0.04,0.019,0.012420188,0.026132356,0.143163743,0.600197463,0.421968328,1.022165791
48,0.038,0.019,0.039087158,0.143456906,0.19895416,0.596816983,0.427201396,1.024018379,0.013255199,0.093612805,0.150492165,0.682353827,0.419551316,1.101905143,0.048,0.026,0.013697799,0.102618285,0.144571585,0.649690374,0.390816612,1.040506986,0.044,0.023,0.039004434,0.063492306,0.128398484,0.850424083,0.393818022,1.244242105,0.038,0.017,0.048937015,0.215577573,0.137068407,0.602119213,0.416158382,1.018277595
49,0.039,0.02,0.043770101,0.158564746,0.199678064,0.605818818,0.423314036,1.029132854,0.025719259,0.104643434,0.147623399,0.7376072,0.415759685,1.153366885,0.043,0.024,0.013544926,0.071633115,0.138083696,0.673295318,0.388435073,1.061730391,0.042,0.022,0.0297985,0.085915536,0.125271452,0.964669571,0.397752182,1.362421753,0.041,0.019,0.057636097,0.178658843,0.134816192,0.611525692,0.420336572,1.031862264
50,0.039,0.02,0.038482293,0.173023283,0.193622812,0.613091506,0.434904622,1.047996128,0.029915089,0.117548391,0.145216632,0.679290831,0.414432311,1.093723142,0.045,0.025,0.025510794,0.134636715,0.135300034,0.695904375,0.397295821,1.093200196,0.043,0.022,0.011947091,0.091122322,0.123858213,0.857297599,0.399147806,1.256445405,0.039,0.018,0.082589351,0.085954681,0.13221732,0.66359385,0.422514418,1.086108268
51,0.041,0.019,0.03197819,0.118626386,0.195014272,0.632762333,0.422062513,1.054824846,0.021535099,0.101284452,0.13996443,0.715912424,0.421721407,1.137633832,0.044,0.024,0.010402303,0.073086217,0.132511036,0.709847273,0.389222204,1.099069477,,,,,,,,,0.041,0.019,,,,,,
52,0.039,0.02,0.062406965,0.194234088,0.191077302,0.610341283,0.416895297,1.02723658,0.021234324,0.114031829,0.141940527,0.710465777,0.420359566,1.130825343,0.045,0.025,0.022124607,0.10428223,0.13369262,0.724382141,0.388144338,1.112526479,,,,,,,,,0.041,0.019,,,,,,
53,0.04,0.019,0.054496244,0.168973252,0.181022266,0.630923783,0.428795197,1.05971898,0.059969343,0.158670649,0.138783873,0.70928367,0.417445748,1.126729418,,,,,,,,,,,,,,,,,,,,,,,,
54,0.039,0.02,0.053003006,0.144508258,0.179533113,0.621431997,0.423933566,1.045365562,0.028306335,0.105192959,0.134259036,0.742589316,0.412677715,1.155267031,,,,,,,,,,,,,,,,,,,,,,,,
55,0.041,0.02,0.023313817,0.104277581,0.179022283,0.66256157,0.425741783,1.088303354,0.068743221,0.224750564,0.13513385,0.727056347,0.419231762,1.146288109,,,,,,,,,,,,,,,,,,,,,,,,
56,0.04,0.02,0.056891337,0.149150699,0.175923034,0.662934593,0.416174604,1.079109197,0.010042734,0.093155459,0.136296553,0.729861684,0.41214358,1.142005264,,,,,,,,,,,,,,,,,,,,,,,,
57,0.04,0.02,0.034656115,0.147087246,0.178579152,0.626047615,0.422539349,1.048586963,0.02636873,0.11369127,0.136083397,0.72026068,0.423293902,1.143554581,,,,,,,,,,,,,,,,,,,,,,,,
58,0.04,0.022,0.029241513,0.142562896,0.16698053,0.631761379,0.421808057,1.053569436,0.022670135,0.120070204,0.138809062,0.754035941,0.417857019,1.17189296,,,,,,,,,,,,,,,,,,,,,,,,
59,0.042,0.021,0.037365824,0.104946718,0.172876562,0.629053153,0.420230548,1.049283701,0.020009905,0.118960336,0.117253829,0.709914281,0.415431402,1.125345683,,,,,,,,,,,,,,,,,,,,,,,,
60,0.04,0.02,0.043463066,0.162641406,0.165235982,0.689349589,0.424335938,1.113685527,0.019815464,0.078244761,0.108875068,0.719659157,0.414816993,1.13447615,,,,,,,,,,,,,,,,,,,,,,,,
61,0.039,0.02,0.035750993,0.182889462,0.164571352,0.63251178,0.427885994,1.060397774,0.029828677,0.14680773,0.10627266,0.732291689,0.41318759,1.145479279,,,,,,,,,,,,,,,,,,,,,,,,
62,0.041,0.021,0.01417667,0.080065146,0.159124285,0.692153703,0.430490583,1.122644286,0.008938506,0.087226272,0.10377791,0.741485114,0.411461729,1.152946843,,,,,,,,,,,,,,,,,,,,,,,,
63,0.042,0.021,0.023298085,0.126267716,0.160602741,0.701092738,0.41596593,1.117058668,0.013762372,0.07054738,0.102422164,0.743444397,0.410222175,1.153666573,,,,,,,,,,,,,,,,,,,,,,,,
