Epoch,not_aug_IoU :0.50 AP,not_aug_IoU :0.5:0.95 AP,not_aug_train_Classification_Loss,not_aug_train_Regression_Loss,not_aug_train_Total_Loss,not_aug_val_Classification_Loss,not_aug_val_Regression_Loss,not_aug_val_Total_Loss,not_aug_pretrain_train_Classification_Loss,not_aug_pretrain_train_Regression_Loss,not_aug_pretrain_train_Total_Loss,not_aug_pretrain_valid_Classification_Loss,not_aug_pretrain_valid_Regression_Loss,not_aug_pretrain_valid_Total_Loss,aug_1_IoU :0.50 AP,aug1_IoU :0.5:0.95 AP,aug1_train_Classification_Loss,aug1_train_Regression_Loss,aug1_train_Total_Loss,aug1_valid_Classification_Loss,aug1_valid_Regression_Loss,aug1_valid_Total_Loss,aug_2_IoU:0.50,aug2_IoU:0.50:0.95,aug2_train_Classification_Loss,aug2_train_Regression_Loss,aug2_train_Total_Loss,aug2_valid_Classification_Loss,aug2_valid_Regression_Loss,aug2_valid_Total_Loss,aug_3_IoU:0.50,aug3_IoU:0.5:0.95,aug3_train_Classification_Loss,aug3_train_Regression_Loss,aug3_train_Total_Loss,aug3_valid_Classification_Loss,aug3_valid_Regression_Loss,aug3_valid_Total_Loss,"aug_(3,4)_IoU:0.5","aug(3,4)_IoU:0.5:0.95","aug_(3,4)_train_Classification_Loss","aug_(3,4)_train_Regression_Loss","aug_(3,4)_train_Total_Loss","aug_(3,4)_valid_Classification_Loss","aug_(3,4)_valid_Regression_Loss","aug_(3,4)_valid_Total_Loss","aug_(3,5)_transfer:IoU:0.5","aug_(3,5)_transfer:IoU:0.5:0.95","aug_(3,5)_transfer:Train_Classification_Loss","aug_(3,5)_transfer:Train_Regression_Loss","aug_(3,5)_transfer:Train_Total_Loss","aug_(3,5)_transfer:Valid_Classification_Loss","aug_(3,5)_transfer:Valid_Regression_Loss","aug_(3,5)_transfer:Valid_Total_Loss"
26,0.034,0.016,0.105356701,0.189542189,0.329662796,0.482738312,0.439687607,0.922425919,0.047409549,0.16606462,0.210685156,0.604959438,0.437927601,1.042887039,0.04,0.021,0.100206122,0.250704706,0.247174373,0.526344969,0.409729667,0.936074637,0.039,0.02,0.061542071,0.141058445,0.222864815,0.590677294,0.413831464,1.004508758,,,,,,,,,0.052,0.028,0.000100415,0.034041826,0.129097527,0.614644082,0.395535242,1.010179324,0.046,0.024,0.048651032,0.143687129,0.133570206,0.644116506,0.384597324,1.02871383
27,0.036,0.017,0.19419089,0.280954301,0.32444125,0.495195084,0.445165396,0.94036048,0.059213411,0.15436247,0.202492256,0.642903479,0.422044021,1.0649475,0.04,0.022,0.126346022,0.250443161,0.235959215,0.559184304,0.406021235,0.965205539,0.042,0.019,0.062364548,0.172128543,0.21519382,0.596955901,0.415372101,1.012328002,,,,,,,,,0.048,0.026,0.064617664,0.119781278,0.127563754,0.614926815,0.392044143,1.006970958,0.047,0.024,0.000109982,0.00595502,0.128532135,0.939557458,0.391246843,1.330804301
28,0.036,0.016,0.061320931,0.102892086,0.312400573,0.52060699,0.439407527,0.960014518,0.027561162,0.102245234,0.201741982,0.591906375,0.424669944,1.016576319,0.042,0.022,0.040165648,0.147832632,0.228391968,0.520405873,0.410334971,0.930740844,0.04,0.02,0.093731716,0.221199334,0.204009807,0.657290326,0.414609168,1.071899494,,,,,,,,,0.051,0.028,0.005189139,0.064466938,0.120237281,0.599674389,0.383822095,0.983496484,0.047,0.024,0.001358212,0.097946674,0.127127737,0.737176317,0.396029451,1.133205768
29,0.034,0.016,0.066802412,0.164322078,0.302155875,0.500479551,0.440233294,0.940712845,0.026940593,0.115645468,0.197626514,0.62364783,0.426401343,1.050049174,0.044,0.023,0.066139199,0.147112876,0.224307551,0.603047403,0.410103959,1.013151362,0.04,0.019,0.061397739,0.211860433,0.198172525,0.632606244,0.40979035,1.042396594,,,,,,,,,0.051,0.029,0.000568025,0.026154574,0.117389099,0.601802097,0.379922237,0.981724334,0.046,0.024,0.003113908,0.070203558,0.121630779,0.653863371,0.394548427,1.048411798
30,0.036,0.017,0.088492379,0.197176665,0.294504899,0.492923282,0.441705191,0.934628474,0.043646447,0.121895283,0.195665164,0.6278451,0.420233516,1.048078616,0.043,0.022,0.031526849,0.107036844,0.220300867,0.540726976,0.405497971,0.946224947,0.041,0.02,0.029642275,0.090379819,0.191022705,0.640417942,0.41019186,1.050609802,,,,,,,,,0.057,0.031,0.005005726,0.097722173,0.114218651,0.64815769,0.387992057,1.036149747,,,,,,,,
31,0.037,0.018,0.10335099,0.199847475,0.295955401,0.512453244,0.435553806,0.94800705,0.043283157,0.130187869,0.187728283,0.610936638,0.416119564,1.027056202,0.045,0.024,0.066734768,0.178542793,0.209439415,0.546259029,0.409147824,0.955406853,0.041,0.021,0.032731574,0.140766323,0.186487104,0.635843114,0.404672235,1.04051535,,,,,,,,,0.054,0.03,0.002022923,0.086798966,0.110964354,0.634396484,0.38635024,1.020746724,,,,,,,,
32,0.038,0.016,0.077576816,0.147753507,0.279648262,0.537157872,0.436179434,0.973337306,0.041114919,0.171912327,0.181252922,0.62780458,0.429104961,1.056909541,0.045,0.024,0.158100262,0.314542592,0.204641209,0.542701122,0.409112198,0.95181332,0.041,0.021,0.06073381,0.162067413,0.182586137,0.711076139,0.410605642,1.121681781,,,,,,,,,0.056,0.03,1.67E-05,0.047742758,0.105531139,6.51E-01,0.382482517,1.033798655,,,,,,,,
33,0.035,0.017,0.055200566,0.145375893,0.269218056,0.519506378,0.434544008,0.954050385,0.053962044,0.165912032,0.181738216,0.645639488,0.423511876,1.069151363,0.043,0.023,0.039824892,0.153437093,0.198644812,0.567446789,0.408162252,0.97560904,0.04,0.02,0.064005598,0.188769877,0.178157055,0.672759023,0.408793168,1.081552191,,,,,,,,,0.06,0.031,0.056169618,0.09600617,0.104540165,0.671386507,0.380465634,1.05185214,,,,,,,,
34,0.037,0.017,0.083251499,0.17530638,0.270915469,0.537450385,0.461605026,0.999055411,0.033337355,0.141697556,0.181177323,0.627056984,0.420078055,1.047135038,0.046,0.025,0.047224887,0.171880186,0.198488821,0.565211329,0.400719136,0.965930465,0.038,0.02,0.025297411,0.089487232,0.172296043,0.658346797,0.411260117,1.069606915,,,,,,,,,0.053,0.028,0.041022055,0.151296094,0.101914681,0.612108937,0.377932074,0.990041011,,,,,,,,
35,0.038,0.018,0.108914882,0.213181466,0.266712765,0.527930344,0.436928177,0.964858521,0.058134995,0.106955498,0.176865364,0.657447928,0.418765945,1.076213874,0.042,0.023,0.062404893,0.167218745,0.190986272,0.568961878,0.40814432,0.977106198,0.04,0.021,0.020938264,0.128813371,0.170201116,0.714533628,0.404615885,1.119149513,,,,,,,,,0.052,0.027,0.026982468,0.089551292,0.100369122,0.696384299,0.384737397,1.081121695,,,,,,,,
